Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2011","2011","ha","11528000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2012","2012","ha","11423000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2013","2013","ha","11372000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2014","2014","ha","11415642","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2015","2015","ha","11381221","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2016","2016","ha","11000809","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2017","2017","ha","11615000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2018","2018","ha","11515000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2019","2019","ha","11515545","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2020","2020","ha","11417745","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2021","2021","ha","11700939","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2011","2011","ha","2752891","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2012","2012","ha","2413288","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2013","2013","ha","2353152","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2014","2014","ha","2340878","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2015","2015","ha","2138397","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2016","2016","ha","1943938","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2017","2017","ha","2006202","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2018","2018","ha","1872155","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2019","2019","ha","1710063","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2020","2020","ha","1677705","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2021","2021","ha","1689189","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2011","2011","ha","30057040","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2012","2012","ha","30137110","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2013","2013","ha","30311750","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2014","2014","ha","30309870","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2015","2015","ha","30784000","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2016","2016","ha","30746000","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2017","2017","ha","30747190","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2018","2018","ha","30189450","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2019","2019","ha","29690000","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2020","2020","ha","30080000","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2021","2021","ha","29921200","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2011","2011","ha","44010000","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2012","2012","ha","42754000","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2013","2013","ha","44135950","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2014","2014","ha","44110000","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2015","2015","ha","43390000","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2016","2016","ha","43190000","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2017","2017","ha","43774060","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2018","2018","ha","44156440","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2019","2019","ha","43662300","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2020","2020","ha","45070000","A","Official figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2021","2021","ha","46379000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2011","2011","ha","11653000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2012","2012","ha","11591000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2013","2013","ha","11631000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2014","2014","ha","11473000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2015","2015","ha","11389000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2016","2016","ha","10600000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2017","2017","ha","10900000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2018","2018","ha","11377934","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2019","2019","ha","10677887","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2020","2020","ha","10657275","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2021","2021","ha","10411801","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2011","2011","ha","1611000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2012","2012","ha","1616000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2013","2013","ha","1621000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2014","2014","ha","1609000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2015","2015","ha","1589000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2016","2016","ha","1570000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2017","2017","ha","1557000","T","Unofficial figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2018","2018","ha","1470000","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2019","2019","ha","1470000","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2020","2020","ha","1462000","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","0113","Rice","2021","2021","ha","1404000","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2011","2011","ha","7566819","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2012","2012","ha","6988927","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2013","2013","ha","6952910","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2014","2014","ha","6869545","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2015","2015","ha","6769494","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2016","2016","ha","6723986","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2017","2017","ha","6945982","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2018","2018","ha","7149311","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2019","2019","ha","6920875","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2020","2020","ha","6829904","A","Official figure"
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2021","2021","ha","6536690","I","Imputed value"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2011","2011","ha","4536642","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2012","2012","ha","4690061","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2013","2013","ha","4746091","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2014","2014","ha","4739672","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2015","2015","ha","4656227","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2016","2016","ha","4556043","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2017","2017","ha","4811808","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2018","2018","ha","4800406","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2019","2019","ha","4651490","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2020","2020","ha","4718896","A","Official figure"
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2021","2021","ha","4805077","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2011","2011","ha","11956638","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2012","2012","ha","11956781","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2013","2013","ha","11684315","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2014","2014","ha","10664923","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2015","2015","ha","9717975","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2016","2016","ha","10734279","I","Imputed value"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2017","2017","ha","10719698","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2018","2018","ha","10647941","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2019","2019","ha","9812614","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2020","2020","ha","10401653","A","Official figure"
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2021","2021","ha","11244000","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2011","2011","ha","7655440","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2012","2012","ha","7761314","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2013","2013","ha","7902813","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2014","2014","ha","7816476","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2015","2015","ha","7828607","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2016","2016","ha","7734722","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2017","2017","ha","7708534","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2018","2018","ha","7570741","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2019","2019","ha","7451544","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2020","2020","ha","7222403","A","Official figure"
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2021","2021","ha","7219797","A","Official figure"
